ensembl_gene_id	chrom	start	end	strand	mgi_symbol
ENSMUSG00000097628	1	12565577	12566383	1	Gm2383
ENSMUSG00000098163	1	12655867	12656553	1	Gm6216
ENSMUSG00000097171	1	12667563	12673090	1	Gm17644
ENSMUSG00000101314	1	12670324	12671176	-1	Gm29663
ENSMUSG00000016918	1	12692277	12861192	1	Sulf1
ENSMUSG00000025938	1	12866549	12992650	-1	Slco5a1
ENSMUSG00000104518	1	13059401	13059951	-1	Gm37162
ENSMUSG00000069620	1	13062025	13062345	1	Gm5250
ENSMUSG00000099498	1	13068838	13078662	1	Gm29283
ENSMUSG00000042414	1	13113457	13127163	-1	Prdm14
ENSMUSG00000005886	1	13139105	13374083	-1	Ncoa2
ENSMUSG00000103506	1	13177462	13179714	-1	Gm38376
ENSMUSG00000103495	1	13234809	13236434	-1	Gm37409
ENSMUSG00000099183	1	13262198	13262279	1	Gm27881
ENSMUSG00000102639	1	13289812	13290506	-1	Gm38223
ENSMUSG00000104170	1	13297036	13298907	-1	Gm37702
ENSMUSG00000087782	1	13334498	13334609	-1	Gm23169
ENSMUSG00000103085	1	13343563	13348204	-1	Gm38120
ENSMUSG00000102664	1	13354483	13356730	-1	Gm38380
ENSMUSG00000101476	1	13376070	13388413	1	Gm29570
ENSMUSG00000101171	1	13407012	13407655	-1	Gm7593
ENSMUSG00000025935	1	13564698	13589910	-1	Tram1
ENSMUSG00000025937	1	13623330	13660546	-1	Lactb2
ENSMUSG00000102982	1	13641483	13642748	-1	Gm38319
ENSMUSG00000067813	1	13668771	13701723	1	Xkr9
ENSMUSG00000077368	1	13774334	13774464	-1	Gm26273
ENSMUSG00000097711	1	13785883	13786879	-1	Gm5523
ENSMUSG00000102166	1	13846871	13849119	-1	Gm36947
ENSMUSG00000089358	1	13932378	13932685	1	Gm25491
ENSMUSG00000104209	1	14109215	14112819	-1	Gm37400
ENSMUSG00000025932	1	14168954	14310235	-1	Eya1
ENSMUSG00000095853	1	14182578	14182677	1	Gm22616
ENSMUSG00000102588	1	14255552	14255990	-1	Gm37444
ENSMUSG00000054493	1	14752937	14776931	1	Gm9947
ENSMUSG00000025930	1	14753346	14755992	-1	Msc
ENSMUSG00000103492	1	14788645	14792965	1	Gm37412
ENSMUSG00000081201	1	14839869	14840156	-1	Smt3h2-ps4
ENSMUSG00000082193	1	14865072	14865965	1	Rpl5-ps1
ENSMUSG00000032769	1	14872648	14918862	-1	Trpa1
ENSMUSG00000088159	1	15019040	15019159	-1	Gm26345
ENSMUSG00000073737	1	15268802	15269797	-1	Gm10566
ENSMUSG00000092083	1	15287254	15723750	1	Kcnb2
ENSMUSG00000102937	1	15364302	15365834	1	Gm38116
ENSMUSG00000104149	1	15556249	15558337	1	Gm37138
ENSMUSG00000088829	1	15685935	15686046	-1	Gm25227
ENSMUSG00000077377	1	15757832	15757963	1	Gm25168
ENSMUSG00000101652	1	15760122	15760668	-1	Gm6060
ENSMUSG00000100814	1	15760761	15760860	1	Gm28669
ENSMUSG00000025925	1	15805646	15844052	1	Terf1
ENSMUSG00000104379	1	15853331	15856499	1	Gm37509
ENSMUSG00000032719	1	15853862	15892722	-1	Sbspon
ENSMUSG00000088943	1	15879530	15879832	1	Gm23259
ENSMUSG00000100652	1	16053335	16053887	1	Gm7634
ENSMUSG00000067795	1	16065979	16093325	-1	4930444P10Rik
ENSMUSG00000043716	1	16101295	16104662	-1	Rpl7
ENSMUSG00000025921	1	16105774	16133734	1	Rdh10
ENSMUSG00000104165	1	16208197	16210517	-1	Gm38249
ENSMUSG00000100868	1	16228506	16244062	1	Gm28095
ENSMUSG00000025920	1	16228674	16520112	-1	Stau2
ENSMUSG00000089982	1	16253592	16267921	1	Gm7568
ENSMUSG00000025939	1	16540790	16619489	-1	Ube2w
ENSMUSG00000102457	1	16618560	16621539	1	Gm38342
ENSMUSG00000079658	1	16641725	16657042	-1	Tceb1
ENSMUSG00000097744	1	16657552	16662278	1	D030040B21Rik
ENSMUSG00000100959	1	16662980	16663662	-1	Gm7654
ENSMUSG00000025940	1	16665207	16678275	1	Tmem70
ENSMUSG00000025779	1	16688051	16709611	1	Ly96
ENSMUSG00000100093	1	16758205	16758623	-1	Gm29649
ENSMUSG00000091020	1	16768279	16770138	-1	Gm5828
ENSMUSG00000101640	1	16898185	17091631	1	Gm28376
ENSMUSG00000104133	1	16930970	16931796	1	4921511E07Rik
ENSMUSG00000042686	1	16964560	17097889	-1	Jph1
ENSMUSG00000100110	1	17124747	17128956	1	Gm28783
ENSMUSG00000025777	1	17145362	17164271	1	Gdap1
ENSMUSG00000099899	1	17168403	17173103	1	Gm28784
ENSMUSG00000100272	1	17250114	17250492	-1	Gm28785
ENSMUSG00000100398	1	17394958	17395429	1	Gm5251
ENSMUSG00000101589	1	17397412	17400281	-1	Rbm6-ps1
ENSMUSG00000102048	1	17429043	17429528	-1	Gm6075
ENSMUSG00000089534	1	17520001	17520111	1	Gm25166
ENSMUSG00000067780	1	17601901	17630939	1	Pi15
ENSMUSG00000100053	1	17615084	17641081	-1	Gm28154
ENSMUSG00000085125	1	17676027	17727646	-1	Gm16070
ENSMUSG00000025776	1	17727045	17766344	1	Crispld1
ENSMUSG00000099895	1	17741915	17805417	-1	Gm28153
ENSMUSG00000100554	1	17947041	17948439	1	Gm7690
ENSMUSG00000099473	1	17993010	17999622	-1	Gm18775
ENSMUSG00000099591	1	17993813	17997483	1	Gm17969
ENSMUSG00000102001	1	18005961	18016186	-1	Gm28755
ENSMUSG00000101717	1	18034818	18058790	-1	Gm28756
ENSMUSG00000025774	1	18115191	18145902	-1	Crisp4
ENSMUSG00000070977	1	18210053	18223564	-1	Defb44-ps
ENSMUSG00000073735	1	18236473	18237443	-1	Defb18
ENSMUSG00000067773	1	18250980	18265138	-1	Defb41
ENSMUSG00000101685	1	18262395	18263379	-1	Gm17837
ENSMUSG00000101738	1	18307824	18313906	1	Gm29006
ENSMUSG00000101306	1	18708428	18709336	1	Gm5252
ENSMUSG00000088800	1	18969762	18969833	-1	Gm24075
ENSMUSG00000101644	1	19037266	19037377	1	Gm28343
ENSMUSG00000099433	1	19062857	19063135	1	Gm28344
ENSMUSG00000089787	1	19063300	19104840	-1	Gm15825
ENSMUSG00000042596	1	19103022	19166346	1	Tfap2d
ENSMUSG00000100720	1	19153422	19153966	-1	Gm10075
ENSMUSG00000025927	1	19208914	19238576	1	Tfap2b
ENSMUSG00000100538	1	19242725	19243769	1	Gm28340
ENSMUSG00000101117	1	19320226	19320697	-1	Gm28341
ENSMUSG00000100204	1	19330939	19333184	1	Gm4849
ENSMUSG00000084668	1	19513855	19513919	-1	Gm24633
ENSMUSG00000102597	1	19614269	19616767	1	Gm38382
ENSMUSG00000043760	1	20057779	20618064	-1	Pkhd1
ENSMUSG00000104095	1	20062070	20065548	-1	Gm37315
ENSMUSG00000089914	1	20356452	20392300	1	4930486I03Rik
ENSMUSG00000090142	1	20444258	20444810	-1	Gm15795
ENSMUSG00000070175	1	20444811	20444912	-1	Gm24162
ENSMUSG00000065559	1	20679010	20679082	1	Mir206
ENSMUSG00000099906	1	20679023	20684298	1	Gm28653
ENSMUSG00000065480	1	20682769	20682887	1	Mir133b
ENSMUSG00000025929	1	20730905	20734496	1	Il17a
ENSMUSG00000041872	1	20777146	20790617	-1	Il17f
ENSMUSG00000041859	1	20802968	20820312	-1	Mcm3
ENSMUSG00000099714	1	20821331	20822516	1	Gm20587
ENSMUSG00000102121	1	20836661	20839689	1	Gm28065
ENSMUSG00000088858	1	20842535	20842666	-1	Gm24723
ENSMUSG00000097934	1	20888650	20890473	-1	6720483E21Rik
ENSMUSG00000025931	1	20890606	20939650	1	Paqr8
ENSMUSG00000077314	1	20915410	20915540	-1	Gm24171
ENSMUSG00000100929	1	20945711	20946914	1	Gm28064
ENSMUSG00000041809	1	20951626	20990841	1	Efhc1
ENSMUSG00000041779	1	20996299	21079229	-1	Tram2
ENSMUSG00000099971	1	21080114	21081748	1	Gm28287
ENSMUSG00000100819	1	21178988	21187427	1	Gm2693
ENSMUSG00000025933	1	21218575	21230167	1	Tmem14a
ENSMUSG00000102633	1	21234722	21236821	1	Gm38224
ENSMUSG00000025934	1	21240589	21265661	1	Gsta3
ENSMUSG00000099343	1	21250359	21271593	-1	Gm28836
ENSMUSG00000096375	1	21272403	21272906	1	Gm7094
ENSMUSG00000025936	1	21285246	21298312	-1	Gm4956
ENSMUSG00000093963	1	21312517	21316320	-1	Gm21909
ENSMUSG00000067750	1	21349641	21352200	1	Khdc1a
ENSMUSG00000086194	1	21354005	21355116	1	Gm16329
ENSMUSG00000094436	1	21364803	21365030	1	Gm16327
ENSMUSG00000041722	1	21368331	21370845	1	Khdc1c
ENSMUSG00000085507	1	21372670	21373764	1	Gm2709
ENSMUSG00000094926	1	21379555	21379782	1	Gm16533
ENSMUSG00000085079	1	21383556	21386373	1	Khdc1b
ENSMUSG00000085679	1	21390906	21391101	1	Gm16328
ENSMUSG00000028033	1	21398403	21961942	-1	Kcnq5
ENSMUSG00000104138	1	21454691	21457017	-1	Gm36949
ENSMUSG00000082935	1	21511933	21513056	-1	Gm7658
ENSMUSG00000103748	1	21838948	21840514	-1	Gm38243
ENSMUSG00000097109	1	21959842	21962530	1	Gm26580
ENSMUSG00000099692	1	22030064	22030615	-1	Gm5696
ENSMUSG00000100418	1	22237849	22238295	1	Gm28239
ENSMUSG00000041670	1	22286251	22805724	-1	Rims1
ENSMUSG00000097642	1	22740764	22741565	1	Gm26866
ENSMUSG00000101468	1	22984863	22987125	-1	Gm7761
ENSMUSG00000101227	1	23048295	23235673	-1	Gm29506
ENSMUSG00000073730	1	23100473	23102253	-1	4933415F23Rik
ENSMUSG00000089553	1	23245211	23245331	1	Gm24176
ENSMUSG00000102766	1	23255685	23256407	-1	Gm6420
ENSMUSG00000065405	1	23272269	23272339	1	Mir30a
ENSMUSG00000097970	1	23291537	23291935	1	Gm27028
ENSMUSG00000065567	1	23291701	23291784	1	Mir30c-2
ENSMUSG00000100775	1	23293729	23294075	1	Gm29107
ENSMUSG00000101226	1	23345956	23346599	-1	Gm20954
ENSMUSG00000026158	1	23366424	23397772	-1	Ogfrl1
ENSMUSG00000097920	1	23479539	23480527	1	Gm7784
ENSMUSG00000099503	1	23574587	23596664	1	Gm28822
ENSMUSG00000026156	1	23761753	23849158	1	B3gat2
ENSMUSG00000026155	1	23844846	23922317	-1	Smap1
ENSMUSG00000026154	1	23995939	24005656	-1	Sdhaf4
ENSMUSG00000102495	1	24005505	24005894	1	Gm26524
ENSMUSG00000026153	1	24011093	24100341	-1	Fam135a
ENSMUSG00000102398	1	24100625	24103424	1	Gm37580
ENSMUSG00000097670	1	24125275	24126141	1	Gm26607
ENSMUSG00000026147	1	24177610	24252684	1	Col9a1
ENSMUSG00000026141	1	24261890	24587472	-1	Col19a1
ENSMUSG00000077463	1	24548841	24548977	-1	Gm26418
ENSMUSG00000099997	1	24594087	24595423	-1	Tubb4b-ps2
ENSMUSG00000100131	1	24611535	24612410	-1	Gm28439
ENSMUSG00000067736	1	24612407	24612700	-1	Gm10222
ENSMUSG00000101939	1	24612775	24613119	-1	Gm28438
ENSMUSG00000101111	1	24613189	24613971	-1	Gm28437
ENSMUSG00000100862	1	24613974	24614651	-1	Gm10925
ENSMUSG00000102070	1	24614885	24615565	-1	Gm28661
ENSMUSG00000101249	1	24615706	24616197	-1	Gm29216
ENSMUSG00000073725	1	24678630	24766301	1	Lmbrd1
ENSMUSG00000100808	1	24910461	24911659	-1	Gm28594
ENSMUSG00000100483	1	24963209	24965158	-1	Gm28237
ENSMUSG00000100450	1	25011941	25012756	1	Gm9443
ENSMUSG00000099392	1	25026581	25027232	-1	Gm29414
ENSMUSG00000033569	1	25067476	25829707	-1	Adgrb3
ENSMUSG00000080849	1	25223730	25224173	1	Gm15702
ENSMUSG00000104257	1	25276404	25277954	-1	Gm20172
ENSMUSG00000096866	1	25279445	25279551	-1	Gm22260
ENSMUSG00000102296	1	25284218	25285248	-1	Gm37543
ENSMUSG00000103209	1	25296512	25299886	-1	Gm37331
ENSMUSG00000104027	1	25314276	25317708	-1	Gm37211
ENSMUSG00000102407	1	25325866	25328398	-1	Gm37862
ENSMUSG00000103214	1	25345978	25349082	-1	Gm38286
ENSMUSG00000104100	1	25362564	25365820	-1	Gm37880
ENSMUSG00000084740	1	25451071	25451174	1	Gm25294
ENSMUSG00000103889	1	25608250	25611184	-1	Gm37011
ENSMUSG00000101301	1	25614946	25615515	-1	Gm29214
ENSMUSG00000104221	1	25620238	25623180	-1	Gm37051
ENSMUSG00000102250	1	25672245	25676239	-1	Gm38260
ENSMUSG00000102317	1	25686062	25691501	-1	Gm37628
ENSMUSG00000103563	1	25722038	25724778	-1	8030445P17Rik
ENSMUSG00000102465	1	25735389	25738969	-1	Gm38198
ENSMUSG00000102659	1	25755343	25759033	-1	Gm37077
ENSMUSG00000103924	1	25775757	25780306	-1	Gm37895
ENSMUSG00000104132	1	25797281	25800905	-1	Gm36952
ENSMUSG00000102747	1	25804097	25807406	-1	Gm37602
ENSMUSG00000102386	1	25808956	25809972	-1	2900022M07Rik
ENSMUSG00000103004	1	25824390	25824719	-1	2900002M20Rik
ENSMUSG00000104516	1	25830657	25831878	1	Gm9884
ENSMUSG00000101618	1	25996604	25997159	-1	Gm18443
ENSMUSG00000099458	1	26466236	26466886	1	Gm19123
ENSMUSG00000088111	1	26566833	26566938	1	Gm24064
ENSMUSG00000073722	1	26681814	26687460	-1	4931408C20Rik
ENSMUSG00000095256	1	26959103	26959221	-1	n-R5s209
ENSMUSG00000100310	1	27336352	27336768	-1	Gm19641
ENSMUSG00000101514	1	27884046	27902396	1	Gm5524
ENSMUSG00000101033	1	27900419	27901072	-1	Gm18776
ENSMUSG00000101372	1	27989910	27991782	1	Gm19028
ENSMUSG00000103241	1	28569918	28571431	1	Gm38089
ENSMUSG00000086240	1	28580499	28580772	-1	Gm7846
ENSMUSG00000048411	1	28776117	28780252	-1	Gm597
ENSMUSG00000081557	1	28800240	28802721	-1	Gm5697
ENSMUSG00000058590	1	28938036	28938339	1	Gm6462
ENSMUSG00000101235	1	29219700	29220249	1	Gm18033
ENSMUSG00000064433	1	29280964	29281075	-1	Gm25586
ENSMUSG00000080625	1	29301480	29301579	1	Gm22679
ENSMUSG00000080391	1	29361275	29361370	-1	Gm23785
ENSMUSG00000099257	1	29421488	29421612	1	Mir6342
ENSMUSG00000099492	1	29484604	29485915	-1	Gm5525
ENSMUSG00000101726	1	29930094	29930715	1	Gm7858
ENSMUSG00000096829	1	29985934	29986043	1	Gm23771
ENSMUSG00000098883	1	30333291	30333397	-1	Gm27430
ENSMUSG00000053185	1	30718560	30719962	-1	Gm9898
ENSMUSG00000100261	1	30769687	30771815	1	Gm6473
ENSMUSG00000101180	1	30794548	30794875	-1	Gm2914
ENSMUSG00000048874	1	30802339	30873921	-1	Phf3
ENSMUSG00000103783	1	30833548	30836431	-1	Gm37522
ENSMUSG00000104315	1	30865504	30868538	-1	Gm37906
ENSMUSG00000026064	1	30940302	30949770	-1	Ptp4a1
ENSMUSG00000086151	1	30977244	30977967	-1	Gm5698
ENSMUSG00000086726	1	30986226	30986952	-1	Gm9458
ENSMUSG00000087346	1	30998184	30998906	-1	Gm5699
ENSMUSG00000100371	1	31019188	31096454	-1	Gm29669
ENSMUSG00000100237	1	31041919	31043675	1	Gm28644
ENSMUSG00000098529	1	31122725	31122862	-1	Gm27362
ENSMUSG00000086727	1	31135226	31222684	-1	4931428L18Rik
ENSMUSG00000100910	1	31136026	31150105	1	Gm29128
ENSMUSG00000099796	1	31164549	31164773	1	Gm7893
ENSMUSG00000050217	1	31176401	31204725	1	Lgsn
ENSMUSG00000026063	1	31222838	31224288	1	Pih1d3
ENSMUSG00000077664	1	31259593	31259719	-1	Gm26145
ENSMUSG00000100205	1	31267326	31267884	1	Gm4850
ENSMUSG00000100592	1	31274892	31275455	1	Gm28645
ENSMUSG00000094215	1	31286945	31287640	1	Gm6489
ENSMUSG00000101093	1	31559540	31561400	1	Gm10307
ENSMUSG00000070960	1	31615149	31616661	1	Gm19680
ENSMUSG00000088620	1	31656632	31656738	-1	Gm23032
ENSMUSG00000082159	1	31736057	31736891	1	Gm7910
ENSMUSG00000026058	1	32172714	32658568	1	Khdrbs2
ENSMUSG00000064688	1	32213133	32213239	-1	Gm25814
ENSMUSG00000103482	1	32473757	32475565	1	Gm37999
ENSMUSG00000104498	1	32485315	32486942	1	Gm37110
ENSMUSG00000104313	1	32496444	32497988	1	Gm37911
ENSMUSG00000102865	1	32519563	32520999	-1	Gm9839
ENSMUSG00000102321	1	32539028	32542440	1	Gm37792
ENSMUSG00000091318	1	32543686	32547294	-1	Gm5415
ENSMUSG00000089489	1	32568359	32568421	-1	Gm24732
ENSMUSG00000104433	1	32710179	32712648	1	Gm37426
ENSMUSG00000089395	1	32726639	32726930	1	Gm23024
ENSMUSG00000102926	1	32967484	32972490	-1	Gm37151
ENSMUSG00000100497	1	33028160	33030290	-1	Gm28624
ENSMUSG00000102917	1	33065130	33066350	1	Gm37724
ENSMUSG00000100481	1	33100907	33102695	1	Gm7114
ENSMUSG00000100590	1	33108905	33109655	-1	Gm4785
ENSMUSG00000088750	1	33191993	33192102	1	Gm24901
ENSMUSG00000104230	1	33212774	33215475	-1	Gm37591
ENSMUSG00000101754	1	33235939	33237631	1	Gm2987
ENSMUSG00000065223	1	33293676	33293775	1	Gm25792
ENSMUSG00000100318	1	33315670	33316582	-1	Gm18799
ENSMUSG00000101612	1	33371331	33373585	1	Gm7933
ENSMUSG00000065260	1	33422733	33422838	1	Gm23453
ENSMUSG00000026134	1	33453810	33669795	-1	Prim2
ENSMUSG00000101682	1	33482101	33482518	1	Gm29228
ENSMUSG00000102714	1	33613758	33616832	-1	Gm37618
ENSMUSG00000102093	1	33657781	33658108	1	Gm17813
ENSMUSG00000103746	1	33669824	33670712	1	1700001G17Rik
ENSMUSG00000102198	1	33671915	33674228	-1	Gm38173
ENSMUSG00000004768	1	33719887	33742564	1	Rab23
ENSMUSG00000042215	1	33745484	33757795	-1	Bag2
ENSMUSG00000103072	1	33748007	33748347	1	Gm37905
ENSMUSG00000042197	1	33761545	33814595	-1	Zfp451
ENSMUSG00000081402	1	33836124	33838680	-1	Gm15455
ENSMUSG00000042182	1	33852052	33907816	-1	Bend6
ENSMUSG00000104416	1	33889490	33891117	-1	Gm37067
ENSMUSG00000026131	1	33908225	34308661	1	Dst
ENSMUSG00000103888	1	33908272	34307592	1	Dst
ENSMUSG00000103596	1	33922455	33924838	1	Gm37354
ENSMUSG00000099382	1	33963352	33963685	-1	Gm28631
ENSMUSG00000084506	1	33981410	33981502	-1	Gm23792
