marker,chr,cM
1_23512307,1,8.16955432941694
1_23515191,1,8.18955432941694
1_23518075,1,8.20955432941694
1_23520959,1,8.22955432941694
1_23523843,1,8.24955432941694
1_23526727,1,8.26955432941694
1_23529611,1,8.28955432941694
1_23532495,1,8.30955432941694
1_23535379,1,8.32955432941694
1_23538263,1,8.34955432941694
1_23544138,1,8.36955432941694
1_23551760,1,8.38955432941694
1_23560149,1,8.40955432941694
1_23568539,1,8.42955432941694
1_23576929,1,8.44955432941694
1_23594961,1,8.46955432941694
1_23625142,1,8.48955432941694
1_23703849,1,8.50955432941694
1_23708672,1,8.52955432941694
1_23713495,1,8.54955432941694
1_23733177,1,8.56955432941694
1_23741822,1,8.58955432941694
1_23750467,1,8.60955432941694
1_23759111,1,8.62955432941694
1_23969186,1,8.64955432941694
1_24116007,1,8.66955432941694
1_24257597,1,8.68955432941694
1_24357696,1,8.70955432941694
1_24361381,1,8.72955432941694
1_24365065,1,8.74955432941694
1_24368750,1,8.76955432941694
1_24372434,1,8.78955432941694
1_24376119,1,8.80955432941694
1_24395261,1,8.82955432941694
1_24524917,1,8.84955432941694
1_24533459,1,8.86955432941694
1_24542002,1,8.88955432941694
1_24550544,1,8.90955432941694
1_24667031,1,8.92955432941694
1_24797914,1,8.94955432941694
1_24928798,1,8.96955432941694
1_25059681,1,8.98955432941694
1_25227780,1,9.00955432941694
1_25233567,1,9.02955432941694
1_25239354,1,9.04955432941694
1_25245140,1,9.06955432941694
1_25250927,1,9.08955432941694
1_25256713,1,9.10955432941694
1_25262500,1,9.12955432941694
1_25359036,1,9.14955432941694
1_25374719,1,9.16955432941694
1_25387711,1,9.18955432941694
1_25404202,1,9.20955432941694
1_25409657,1,9.22955432941694
1_25415113,1,9.24955432941694
1_25420568,1,9.26955432941694
1_25437647,1,9.28955432941694
1_25449967,1,9.30955432941694
1_25462286,1,9.32955432941694
1_25475535,1,9.34955432941694
1_25512352,1,9.36955432941694
1_25515401,1,9.38955432941694
1_25518449,1,9.40955432941694
1_25521498,1,9.42955432941694
1_25524547,1,9.44955432941694
1_25527596,1,9.46955432941694
1_25531365,1,9.48955432941694
1_25561243,1,9.50955432941694
1_25605121,1,9.52955432941694
1_25648999,1,9.54955432941694
1_25802418,1,9.56955432941694
1_25804625,1,9.58955432941694
1_25806832,1,9.60955432941694
1_26061594,1,9.62955432941694
1_26367304,1,9.64955432941694
1_26379019,1,9.66955432941694
1_26384315,1,9.68955432941694
1_26386977,1,9.70955432941694
1_26389639,1,9.72955432941694
1_26392301,1,9.74955432941694
1_26667627,1,9.75955432941694
1_26942953,1,9.76955432941694
1_27396200,1,9.77955432941694
1_27849446,1,9.78955432941694
1_28135529,1,9.79955432941694
1_28421612,1,9.80955432941694
1_28612154,1,9.82955432941694
1_28802696,1,9.84955432941694
1_28993237,1,9.86955432941694
1_29018488,1,9.88955432941694
1_29022765,1,9.90955432941694
1_29027042,1,9.92955432941694
1_29332170,1,9.93955432941694
1_29637298,1,9.94955432941694
1_29747973,1,9.96955432941694
1_29770026,1,9.98955432941694
1_29792078,1,10.0095543294169
1_29968068,1,10.0295543294169
1_29975188,1,10.0495543294169
1_29982309,1,10.0695543294169
1_30452497,1,10.0895543294169
1_30473768,1,10.1095543294169
1_30483809,1,10.1295543294169
1_30492221,1,10.1495543294169
1_30500633,1,10.1695543294169
1_30509045,1,10.1895543294169
1_30517054,1,10.2095543294169
1_30522953,1,10.2295543294169
1_30528851,1,10.2495543294169
1_30534750,1,10.2695543294169
1_30540649,1,10.2895543294169
1_30546547,1,10.3095543294169
1_30552446,1,10.3295543294169
1_30558345,1,10.3495543294169
1_30564244,1,10.3695543294169
1_30570142,1,10.3895543294169
1_30576041,1,10.4095543294169
1_30581940,1,10.4295543294169
1_30587838,1,10.4495543294169
1_30593737,1,10.4695543294169
1_30599636,1,10.4895543294169
1_30605534,1,10.5095543294169
1_30611433,1,10.5295543294169
1_30617332,1,10.5495543294169
1_30623231,1,10.5695543294169
1_30629129,1,10.5895543294169
1_30635028,1,10.6095543294169
1_30872790,1,10.6295543294169
1_30889664,1,10.6495543294169
1_30906538,1,10.6695543294169
1_30991664,1,10.6895543294169
1_31062902,1,10.7095543294169
1_31066968,1,10.7295543294169
1_31071034,1,10.7495543294169
1_31213531,1,10.7695543294169
1_31326175,1,10.7895543294169
1_31369445,1,10.8095543294169
1_31402942,1,10.8295543294169
1_31406154,1,10.8495543294169
1_31409367,1,10.8695543294169
1_31412579,1,10.8895543294169
1_31415791,1,10.9095543294169
1_31419004,1,10.9295543294169
1_31422216,1,10.9495543294169
1_31454784,1,10.9695543294169
1_31498054,1,10.9895543294169
1_31656822,1,11.0095543294169
1_31659004,1,11.0295543294169
1_31661186,1,11.0495543294169
1_31663368,1,11.0695543294169
1_31665550,1,11.0895543294169
1_31667732,1,11.1095543294169
1_31978271,1,11.1295543294169
1_32011725,1,11.1495543294169
1_32045178,1,11.1695543294169
1_32242633,1,11.1895543294169
1_32254711,1,11.2095543294169
1_32266789,1,11.2295543294169
1_32311461,1,11.2495543294169
1_32313661,1,11.2695543294169
1_32315860,1,11.2895543294169
1_32349507,1,11.3095543294169
1_32358170,1,11.3295543294169
1_32366832,1,11.3495543294169
1_32375495,1,11.3695543294169
1_32384157,1,11.3895543294169
1_32392820,1,11.4095543294169
1_32484539,1,11.4295543294169
1_32577217,1,11.4495543294169
1_32668502,1,11.4695543294169
1_32857370,1,11.4895543294169
1_32857508,1,11.5095543294169
1_32857646,1,11.5295543294169
1_32857785,1,11.5495543294169
1_32857923,1,11.5695543294169
1_32858061,1,11.5895543294169
1_32864464,1,11.6095543294169
1_32919727,1,11.6295543294169
1_32935506,1,11.6495543294169
1_32936301,1,11.6695543294169
1_32937097,1,11.6895543294169
1_32937892,1,11.7095543294169
1_32938688,1,11.7295543294169
1_32939483,1,11.7495543294169
1_32973458,1,11.7695543294169
1_33028721,1,11.7895543294169
1_33363250,1,11.7995543294169
1_33697780,1,11.8095543294169
1_33701566,1,11.8295543294169
1_33705352,1,11.8495543294169
1_33709138,1,11.8695543294169
1_33712924,1,11.8895543294169
1_33716710,1,11.9095543294169
1_33720496,1,11.9295543294169
1_33724281,1,11.9495543294169
1_33728067,1,11.9695543294169
1_33749185,1,11.9895543294169
1_33758498,1,12.0095543294169
1_33764193,1,12.0295543294169
1_33768241,1,12.0495543294169
1_33772289,1,12.0695543294169
1_33776337,1,12.0895543294169
1_33798588,1,12.1095543294169
1_33804996,1,12.1295543294169
1_33811404,1,12.1495543294169
1_33817812,1,12.1695543294169
1_33894837,1,12.1895543294169
1_33896976,1,12.2095543294169
1_33899115,1,12.2295543294169
1_33984044,1,12.2495543294169
1_34004366,1,12.2695543294169
1_34024688,1,12.2895543294169
1_34175079,1,12.3095543294169
1_34175727,1,12.3295543294169
1_34176375,1,12.3495543294169
1_34177023,1,12.3695543294169
1_34177671,1,12.3895543294169
1_34178319,1,12.4095543294169
1_34217263,1,12.4295543294169
1_34219178,1,12.4495543294169
1_34221055,1,12.4695543294169
1_34229684,1,12.4895543294169
1_34248856,1,12.5095543294169
1_34268029,1,12.5295543294169
1_34368232,1,12.5495543294169
1_34370618,1,12.5695543294169
1_34373005,1,12.5895543294169
1_34375391,1,12.6095543294169
1_34377777,1,12.6295543294169
1_34380164,1,12.6495543294169
1_34453134,1,12.6695543294169
1_34465341,1,12.6895543294169
1_34477548,1,12.7095543294169
1_34484740,1,12.7295543294169
1_34485285,1,12.7495543294169
1_34485830,1,12.7695543294169
1_34486375,1,12.7895543294169
1_34486920,1,12.8095543294169
1_34487464,1,12.8295543294169
1_34488009,1,12.8495543294169
1_34488809,1,12.8695543294169
1_34489856,1,12.8895543294169
1_34513983,1,12.9095543294169
1_34526055,1,12.9295543294169
1_34538127,1,12.9495543294169
1_34550199,1,12.9695543294169
1_34780627,1,12.9895543294169
1_34793548,1,13.0095543294169
1_34806469,1,13.0295543294169
1_35141829,1,13.0495543294169
1_35143241,1,13.0695543294169
1_35144653,1,13.0895543294169
1_35146065,1,13.1095543294169
1_35147478,1,13.1295543294169
1_35148890,1,13.1495543294169
1_35150302,1,13.1695543294169
1_35159846,1,13.1895543294169
1_35173808,1,13.2095543294169
1_35178674,1,13.2295543294169
1_35183478,1,13.2495543294169
1_35189947,1,13.2695543294169
1_35194889,1,13.2895543294169
1_35199844,1,13.3095543294169
1_35211475,1,13.3295543294169
1_35223106,1,13.3495543294169
1_35234737,1,13.3695543294169
1_35255049,1,13.3895543294169
1_35262924,1,13.4095543294169
1_35270799,1,13.4295543294169
1_35277847,1,13.4495543294169
1_35286239,1,13.4695543294169
1_35296441,1,13.4895543294169
1_35306643,1,13.5095543294169
1_35604552,1,13.5295543294169
1_35608000,1,13.5495543294169
1_35611449,1,13.5695543294169
1_35717450,1,13.5895543294169
1_35720976,1,13.6095543294169
1_35724503,1,13.6295543294169
1_36140970,1,13.6495543294169
1_36142099,1,13.6695543294169
1_36143229,1,13.6895543294169
1_36365564,1,13.7095543294169
1_36372331,1,13.7295543294169
1_36379098,1,13.7495543294169
1_36394978,1,13.7695543294169
1_36404686,1,13.7895543294169
1_36414394,1,13.8095543294169
1_36433239,1,13.8295543294169
1_36449242,1,13.8495543294169
1_36465245,1,13.8695543294169
1_36498696,1,13.8895543294169
1_36509601,1,13.9095543294169
1_36520505,1,13.9295543294169
1_36531409,1,13.9495543294169
1_36541014,1,13.9695543294169
1_36545718,1,13.9895543294169
1_36550422,1,14.0095543294169
1_36553261,1,14.0295543294169
1_36555462,1,14.0495543294169
1_36557664,1,14.0695543294169
1_36559865,1,14.0895543294169
1_36562067,1,14.1095543294169
1_36564755,1,14.1295543294169
1_36726400,1,14.1495543294169
1_36731098,1,14.1695543294169
1_36735796,1,14.1895543294169
1_36886790,1,14.2095543294169
1_36890876,1,14.2295543294169
1_36894961,1,14.2495543294169
1_37166814,1,14.2695543294169
1_37173351,1,14.2895543294169
1_37179887,1,14.3095543294169
1_37420173,1,14.3295543294169
1_37426943,1,14.3495543294169
1_37433714,1,14.3695543294169
1_37441375,1,14.3895543294169
1_37444483,1,14.4095543294169
1_37446909,1,14.4295543294169
1_37449336,1,14.4495543294169
1_37451762,1,14.4695543294169
1_37454188,1,14.4895543294169
1_37456614,1,14.5095543294169
1_37459040,1,14.5295543294169
1_37461466,1,14.5495543294169
1_37463892,1,14.5695543294169
1_37472878,1,14.5895543294169
1_37501013,1,14.6095543294169
1_37580005,1,14.6295543294169
1_37584402,1,14.6495543294169
1_37588799,1,14.6695543294169
1_37593195,1,14.6895543294169
1_37597592,1,14.7095543294169
1_37601989,1,14.7295543294169
1_37606386,1,14.7495543294169
1_37610783,1,14.7695543294169
1_37614544,1,14.7895543294169
1_37615573,1,14.8095543294169
1_37616601,1,14.8295543294169
1_37617629,1,14.8495543294169
1_37618657,1,14.8695543294169
1_37619686,1,14.8895543294169
1_37620714,1,14.9095543294169
1_37677402,1,14.9295543294169
1_37690607,1,14.9495543294169
1_37703811,1,14.9695543294169
1_37960845,1,14.9895543294169
1_38051648,1,15.0095543294169
1_38142450,1,15.0295543294169
1_38219746,1,15.0495543294169
1_38223737,1,15.0695543294169
1_38227727,1,15.0895543294169
1_38278499,1,15.1095543294169
1_38323921,1,15.1295543294169
1_38344885,1,15.1495543294169
1_38365848,1,15.1695543294169
1_38386812,1,15.1895543294169
1_38412390,1,15.2095543294169
1_38418969,1,15.2295543294169
1_38421689,1,15.2495543294169
1_38423661,1,15.2695543294169
1_38425632,1,15.2895543294169
1_38427603,1,15.3095543294169
1_38445798,1,15.3295543294169
1_38446374,1,15.3495543294169
1_38446951,1,15.3695543294169
1_38447527,1,15.3895543294169
1_38450497,1,15.4095543294169
1_38453481,1,15.4295543294169
1_38456465,1,15.4495543294169
1_38459363,1,15.4695543294169
1_38461943,1,15.4895543294169
1_38464523,1,15.5095543294169
1_38592968,1,15.5295543294169
1_38600842,1,15.5495543294169
1_38608716,1,15.5695543294169
1_38616590,1,15.5895543294169
1_38624464,1,15.6095543294169
1_38632338,1,15.6295543294169
1_38640365,1,15.6495543294169
1_38648496,1,15.6695543294169
1_38656626,1,15.6895543294169
1_38664757,1,15.7095543294169
1_38672888,1,15.7295543294169
1_38681019,1,15.7495543294169
1_38757802,1,15.7695543294169
1_38764099,1,15.7895543294169
1_38770397,1,15.8095543294169
1_38996255,1,15.8295543294169
1_39021199,1,15.8495543294169
1_39022407,1,15.8695543294169
1_39023615,1,15.8895543294169
1_39024822,1,15.9095543294169
1_39031228,1,15.9295543294169
1_39038928,1,15.9495543294169
1_39046629,1,15.9695543294169
1_39054329,1,15.9895543294169
1_39062029,1,16.0095543294169
1_39073755,1,16.0295543294169
1_39075256,1,16.0495543294169
1_39076757,1,16.0695543294169
1_39078258,1,16.0895543294169
1_39094836,1,16.1095543294169
1_39143710,1,16.1295543294169
1_39150068,1,16.1495543294169
1_39156427,1,16.1695543294169
1_39228525,1,16.1895543294169
1_39228954,1,16.2095543294169
1_39229383,1,16.2295543294169
1_39229812,1,16.2495543294169
1_39230240,1,16.2695543294169
1_39230669,1,16.2895543294169
1_39235420,1,16.3095543294169
1_39244931,1,16.3295543294169
1_39254442,1,16.3495543294169
1_39257527,1,16.3695543294169
1_39260764,1,16.3895543294169
1_39264881,1,16.4095543294169
1_39465256,1,16.4295543294169
1_39502586,1,16.4495543294169
1_39539917,1,16.4695543294169
1_39573595,1,16.4895543294169
1_39576754,1,16.5095543294169
1_39579913,1,16.5295543294169
1_39583072,1,16.5495543294169
1_39599051,1,16.5695543294169
1_39620681,1,16.5895543294169
1_39641873,1,16.6095543294169
1_39648491,1,16.6295543294169
1_39655108,1,16.6495543294169
1_39661726,1,16.6695543294169
1_39702840,1,16.6895543294169
1_39752430,1,16.7095543294169
1_39888989,1,16.7295543294169
1_39890980,1,16.7495543294169
1_39892508,1,16.7695543294169
1_39894036,1,16.7895543294169
1_39895564,1,16.8095543294169
1_39899748,1,16.8295543294169
1_39936421,1,16.8495543294169
1_39938271,1,16.8695543294169
1_39940122,1,16.8895543294169
1_39941973,1,16.9095543294169
1_39943823,1,16.9295543294169
1_39945674,1,16.9495543294169
1_39983421,1,16.9695543294169
1_39987184,1,16.9895543294169
1_39990947,1,17.0095543294169
1_40086742,1,17.0295543294169
1_40092453,1,17.0495543294169
1_40096076,1,17.0695543294169
1_40099681,1,17.0895543294169
1_40103285,1,17.1095543294169
1_40106890,1,17.1295543294169
1_40110495,1,17.1495543294169
1_40114100,1,17.1695543294169
1_40117705,1,17.1895543294169
1_40222053,1,17.2095543294169
1_40235468,1,17.2295543294169
1_40239615,1,17.2495543294169
1_40242693,1,17.2695543294169
1_40245441,1,17.2895543294169
1_40248189,1,17.3095543294169
1_40250936,1,17.3295543294169
1_40253684,1,17.3495543294169
1_40256432,1,17.3695543294169
1_40259179,1,17.3895543294169
1_40261927,1,17.4095543294169
1_40264675,1,17.4295543294169
1_40329981,1,17.4495543294169
1_40346595,1,17.4695543294169
1_40363210,1,17.4895543294169
1_40379034,1,17.5095543294169
1_40391665,1,17.5295543294169
1_40404296,1,17.5495543294169
1_40453927,1,17.5695543294169
1_40487515,1,17.5895543294169
1_40489012,1,17.6095543294169
1_40490510,1,17.6295543294169
1_40492380,1,17.6495543294169
1_40505920,1,17.6695543294169
1_40519460,1,17.6895543294169
1_40531692,1,17.7095543294169
1_40533728,1,17.7295543294169
1_40535765,1,17.7495543294169
1_40537801,1,17.7695543294169
1_40539837,1,17.7895543294169
1_40542151,1,17.8095543294169
1_40545218,1,17.8295543294169
1_40548286,1,17.8495543294169
1_40551353,1,17.8695543294169
1_40554421,1,17.8895543294169
1_40557488,1,17.9095543294169
1_40560556,1,17.9295543294169
1_40565027,1,17.9495543294169
1_40583519,1,17.9695543294169
1_40602010,1,17.9895543294169
1_40620501,1,18.0095543294169
1_40638992,1,18.0295543294169
1_40657484,1,18.0495543294169
1_40675975,1,18.0695543294169
1_40699924,1,18.0895543294169
1_40713381,1,18.1095543294169
1_40724743,1,18.1295543294169
1_40736104,1,18.1495543294169
1_40747466,1,18.1695543294169
1_40758704,1,18.1895543294169
1_40782439,1,18.2095543294169
1_40807398,1,18.2295543294169
1_40832357,1,18.2495543294169
1_40833931,1,18.2695543294169
1_40835009,1,18.2895543294169
1_40836087,1,18.3095543294169
1_40837165,1,18.3295543294169
1_40838243,1,18.3495543294169
1_40840301,1,18.3695543294169
1_40856624,1,18.3895543294169
1_40885689,1,18.4095543294169
1_40889465,1,18.4295543294169
1_40893241,1,18.4495543294169
1_40912141,1,18.4695543294169
1_40944803,1,18.4895543294169
1_40946577,1,18.5095543294169
1_40948352,1,18.5295543294169
1_40980633,1,18.5495543294169
1_41020101,1,18.5695543294169
1_41059568,1,18.5895543294169
1_41064328,1,18.6095543294169
1_41067262,1,18.6295543294169
1_41070196,1,18.6495543294169
